ISBN,Year,Subjects,Publisher,Language
0394747232,1986,"['New York Times bestseller', 'nyt:paperback_graphic_books=2011-09-17']",Pantheon Books,English
0836217241,1993,"['Pictorial American wit and humor', 'History']",Andrews and McMeel,English
039480001X,1986,"['Nonsense verses', ""Children's stories""]",Beginner Books,English
0689714335,1990,"['Tales', 'Fiction']",Aladdin Books,English
0836221362,1996,"['Juvenile fiction', 'Caricatures and cartoons']","Andrews, McMeel & Parker",English
0316286869,1997,"['Care and hygiene', 'Personal Beauty']","Little, Brown",English
0931674085,1982,"['Christmas', 'Fiction']",Waldman House Press,English
0886778697,2000,,DAW Books,English
0505525542,2004,"['Vampires', 'Fiction']",Love Spell,English
1555837336,2002,"['Fiction', 'Motion picture industry']",Alyson Books,English
0380761483,1989,"['Social life and customs', 'Manners and customs']",Avon Books,English
0836228804,,,,English
2253007102,1998,"['Traducciones al español', 'Translations into Spanish']",Livre de Poche,French
0385247745,1988,"['Long Now Manual for Civilization', 'Campbell, Joseph,  -- 1904-   -- Interviews']",Doubleday,English
0345296087,1984,"['Elves', 'Hobbits']",Ballantine Books,English
0380010038,1969,"['Fiction', 'Juvenile fiction']",Doubleday,English
0786927089,2001,"['Fiction', 'Fiction, fantasy, general']",Wizards of the Coast,English
038070918X,1990,"['readers', 'chapter books']",Avon Camelot,English
8445071777,2002,"['Elves', 'Hobbits']",Minotauro,Spanish
0060801263,1973,"['Teenage girls', 'Girls']",Harper & Row,English
1853262390,1995,"['Nobility in fiction', 'Gender identity in fiction']",Wordsworth,English
843760494X,2004,"['Spanish language books', 'Fiction']",Cátedra,Spanish
0786915501,2000,['Dungeons & Dragons 3e (Pen-&-Paper-RPG)'],Wizards of the Coast,English
0920668372,1987,"['Juvenile fiction', ""Children's Books/Baby-Preschool""]",Firefly Books,English
1880418568,2003,"['lightsabers', 'snitches']",Grant,English
1576738167,2001,"['Frontier and pioneer life in fiction', 'Prostitutes in fiction']",Multnomah,English
0671496174,1971,"['Poetry', 'American poetry']",Washington Square Press,English
0397306938,1985,"[""Children's fiction"", 'Orphans, fiction']",HarperFestival,English
0439139597,2000,"['orphans', 'foster homes']",Arthur A. Levine Books,English
0836204387,1995,"['Tiger', 'Imaginary companions']",Simon and Schuster,English
0757300065,2002,,Health Communications,English
0441068804,1987,"['Fantasy', 'Fiction']",Ace Books,English
2205054252,2004,,Dargaud,French
0553574353,1995,['True Crime'],Bantam,English
1591820073,2003,"['Comics & graphic novels, east asian style, manga, science fiction', 'Internet, fiction']",Tokyopop,English
1841721522,2001,"['International Cookery', 'Vegetarian cookery']",Ryland Peters & Small,English
1563895730,1999,"['Comics & graphic novels, horror', 'Comics & graphic novels, fantasy']",Vertigo/D.C. Comics,English
0064405028,1994,"['Narnia', 'The Voyage of the Dawn Treader']",HarperCollins,French
0394178009,1981,"['mothers', 'travel']",Grove Press,English
0967673747,2001,"['Biografía', 'Biography']",Windsor-Brooke Books,English
0140287248,2001,"['Biography', 'Social conditions']","Penguin Books, Limited (UK)",English
0836218620,1990,"['Calvin and Hobbes (Fictitious characters)', 'Pictorial Wit and humor']",Andrews and McMeel,English
0345272579,1979,"['Fantasy', 'Arkenstone']",Ballantine Books,English
0330284142,1984,"['Novela de misterio', 'History']",Picador,English
0385324138,1999,"['Authorship', 'Jamie Fraser (Fictitious character)']",Delacorte Press,English
067168390X,2002,"['fiction', 'western cattle drives']",Pocket Books,English
0679879269,2000,"['Fantasy', 'Fantasy fiction']",Alfred A. Knopf,English
043936213X,2001,"['series:Harry_Potter', 'Ghosts']",Scholastic,English
2277330140,2001,,Editions 84,French
0743428013,2002,"['Ghosts', 'Fiction']",Simon Pulse,English
0394718534,1972,"['Self', 'Self-knowledge, Theory of']",Vintage Books,English
0394810112,1973,"['Childrens Media Tie-In Books', ""Children's Middle Grade Action & Adventure Books""]",Alfred A. Knopf,English
0880706317,1990,"['Love', 'God']",Multnomah Books,English
0679734457,1991,"['Fiction', 'Science Fiction']",Vintage Books,English
0553131834,1979,"['American fiction (fictional works by one author)', 'Open Library Staff Picks']",Bantam Doubleday Dell,Turkish
0060916087,1991,"['Chinese Philosophy', 'Chinese language materials']",HarperPerennial,Vietnamese
0679722556,1989,"['Fiction', 'Inheritance and succession']",Vintage Books,English
0345309006,1983,"['Fiction', 'Psychohistory']",Del Rey,English
0886774144,1988,"['Fantasy fiction', 'Vows and Honor']",DAW,English
3499224100,1999,"['Geburt', 'Verhinderung']",Rowohlt Taschenbuch Verlag GmbH,German
0385336454,2003,"['Nina Reilly (Fictitious character)', 'Women lawyers']",Delacorte Press,English
0061056022,2000,"['Mystery', 'Cats in fiction']",Avon Books,English
0394586603,1990,"['Conversation and phrase books', 'English']",Villard Books,English
0312954212,1995,"['Young women', 'Friendship']",St. Martin's Paperbacks,English
089471273X,1984,"['Authorship, handbooks, manuals, etc.']",Running Press,English
0679723439,1989,"['Translations into English', 'Russian fiction']",Vintage Books,English
0385314043,1997,"['Biography', 'Pianists']",Delacorte Press,English
0743407075,2001,"['Female friendship', 'Fiction']",Pocket Books,English
067972768X,1991,"['Chinese American', 'Chinese American women']",Vintage Books,English
2020551470,2002,"['History', 'Fiction']",Seuil,French
0451458265,2001,"['Fiction', 'Fionavar (Imaginary place)']",ROC,English
0451403886,1993,"['Fiction', 'Mystery']",Onyx,English
0812524586,1986,"['New York Times bestseller', 'nyt:mass_market_paperback=2011-07-30']",TOR,English
0373226071,2001,"['Fiction, romance, general', 'Romantic suspense fiction']",Harlequin,English
0786927062,2002,"['Fiction', 'Dragonlance Saga']",Wizards of the Coast,English
0316912123,1994,"['Rock music', 'History and criticism']",Little Brown,English
0452284694,2003,"['succubus', 'demons']",Plume,English
0786888741,2003,"[""Parkinson's Disease"", 'Biographies']",Hyperion,English
0441536999,1987,"['Fiction, science fiction, general', 'Stone, hazel (fictitious character), fiction']",Ace Books,English
0689711735,1987,"['American Humorous stories', 'Big books']",Aladdin Paperbacks,English
0140340203,1985,"['Fiction', 'Witches']",Puffin Books,English
0698116844,1998,"['Pledge of Allegiance', 'PTA']",PaperStar,English
0380703254,1994,"[""Children's fiction"", 'Christmas, fiction']",Avon Books (Mm),English
1565924924,1998,"['HTML (Document markup language)', 'World Wide Web']",O'Reilly,English
0099427869,2001,"['Adventure stories', 'Allegories']",Arrow Books Ltd,Spanish
1582343764,2003,"['Assemblage (Art)', 'American Art']",Bloomsbury,English
0380493462,1989,,Avon Books,English
0451628047,1954,"['Poetry', 'Hell']",Penguin,English
0374384436,1973,"['Science fiction', 'Juvenile literature']","Farrar, Straus and Giroux",English
0385495323,2000,"['Cryptography', 'History']",Anchor,English
1579549586,2004,"['Tables', 'Cooking']",Rodale,English
1573228230,2000,"['American Authors', 'Childhood and youth']",Riverhead Books,English
055337849X,1996,"['Fiction', 'Brothers']",Bantam Books,English
0765347539,2004,"['Courts and courtiers', 'Fiction']",Tor,English
042519549X,2003,"['Fiction', 'Islands']",Berkley Books,English
0671875965,1994,"['Space opera', 'Fiction']",Baen,English
0670870897,1997,"['Trials, litigation', 'Trials (Murder)']",Viking,English
0812521080,1987,"['Horror', 'Fiction, general']",Tor Books,English
0812516206,1993,"['Fiction', 'Magic']",Tor Books,English
2226070109,1994,"['Fiction', 'Thieves']",Albin Michel,French
0943151163,1997,"['Comic books, strips', 'Motion picture plays']",Slave Labor Graphics,English
3442309174,2003,,Goldmann,German
0486415872,2001,"['English Translations', 'Russian literature']",Dover Thrift Editions,Ukrainian
