ISBN,Title,Author,Year,Publisher,TotalRating,Subjects,Language
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,41,"['Spanish language books', 'Fiction']",Spanish
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,186,"['Fiction', 'Catholics']",English
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,22,"['Fiction', 'Navajo Indians']",English
0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,58,"['Spiritualism in fiction', 'Murder in fiction']",English
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,18,"['Man-woman relationships', 'College teachers']",English
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,65,"['historical romance', 'Dunkirk Evacuation']",English
0393020371,Next: The Future Just Happened,Michael Lewis,2001,W.W. Norton &amp; Company,2,"['Internet', 'Social aspects']",English
0345425294,Gangster,Lorenzo Carcaterra,2002,Fawcett Books,3,"['Organized crime', 'Gangsters in fiction']",English
0451410319,Hush,Anne Frasier,2002,Onyx Books,17,"['Fiction', 'Criminal profilers']",English
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,36,"['Fiction', 'Psychics']",English
0380778556,Rebecca,Daphne Du Maurier,1994,Avon,41,"['Married women', 'Cornwall (England : County)']",English
0451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book,10,"['Fiction', 'Puritans']",English
0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta,13,"['Fiction', 'Pregnant women']",English
0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,Laure Leaf,5,,English
0140252800,The Brimstone Wedding,Barbara Vine,1997,Penguin Books Ltd,5,"['Fiction', 'Mystery']",English
0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,Tor Fantasy,7,"['Fantasy', 'wolf']",English
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books,19,"['Fiction', 'Novelists']",English
0060801263,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher,7,"['Teenage girls', 'Girls']",English
0061030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001,Avon Books,3,"['Actors, biography']",English
0140250964,Snow Angels,Stewart O'Nan,1995,Penguin Books,3,"['Fiction', 'Teenage boys']",English
0446527165,Wish You Well,David Baldacci,2000,Warner Books,33,"['Social life and customs', 'Domestic fiction']",English
0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,18,"['comic science fiction', 'Vogons']",English
0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,27,"['Women zoologists', 'Psychological fiction']",English
039575514X,My Antonia,Willa Cather,1995,Mariner Books,14,"['Literature', 'Frontier and pioneer life']",English
0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book,23,"['Man-woman relationships', 'Fiction']",English
0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),72,"['single women', 'Diary fiction']",English
0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications,17,"['Fiction, Romance, Historical, Regency', 'British and Irish fiction (fictional works by one author)']",English
0671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,1998,Aladdin,2,"['Crime', 'Fiction']",English
0671047612,Skin And Bones,Franklin W. Dixon,2000,Aladdin,2,"['Detective and mystery stories', 'series:HardyBoys']",English
0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,Putnam Pub Group,8,,English
0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,14,"['Fantasy', 'Fiction']",English
0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra,30,"['American Science fiction', 'Ciencia-ficción']",English
3150000335,Kabale Und Liebe,Schiller,1784,"Philipp Reclam, Jun Verlag GmbH",3,"['German drama', 'German drama (Tragedy)']",German
3257203659,Der illustrierte Mann. Erzählungen.,Ray Bradbury,2002,Diogenes,3,"['American Science fiction', 'Science fiction']",German
3257208626,Fahrenheit 451,Ray Bradbury,1994,Distribooks Inc,8,"['Mechanical Hound', 'girl next door']",German
3257216416,Der Tod kommt schnell in Mexico. Erzählungen.,Ray Bradbury,1988,Diogenes Verlag,2,,German
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,Distribooks,12,,German
342311360X,Die Liebe in Den Zelten,Gabriel Garcia Marquez,1994,Deutscher Taschenbuch Verlag (DTV),2,"['Vida familiar', 'Family life']",German
3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002,Heyne,5,"['Social life and customs', 'Young Adult Fiction']",German
3492045642,Querschüsse - Downsize This!,Michael Moore,2003,Piper,9,"['Politics and government', 'Social conditions']",German
3498020862,Die Korrekturen.,Jonathan Franzen,2002,"Rowohlt, Reinbek",5,"['dementia', 'alcoholism']",German
3499110695,Neun Erzählungen.,Jerome D. Salinger,1968,Rowohlt Tb.,2,"['Fiction', 'Water Microbiology']",German
3596292646,Das Buch der lächerlichen Liebe.,Milan Kundera,2000,"Fischer (Tb.), Frankfurt",5,"['Social life and customs', 'Fiction']",German
0060977493,The God of Small Things,Arundhati Roy,1998,Perennial,97,"['Literary Fiction', ""Women's Fiction""]",English
0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",53,"['Fiction', 'Alex Cross (Fictitious character)']",English
0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown",59,"['Fiction', 'Police']",English
0345311396,Private Screening,Richard North Patterson,1994,Ballantine Books,12,"['Presidential candidates', 'Assassins']",English
0345378490,Congo,Michael Crichton,1995,Ballantine Books,98,"['kakundakari', 'type IIb']",English
0345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books,22,"['Judges', 'Presidents']",English
0345433173,The Tall Pine Polka,Lorna Landvik,1999,Ballantine Books,3,['Fiction'],English
0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,46,"['Social life and customs', 'Literature']",English
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,67,"['City and town life', 'Family']",English
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,49,"['Fiction', 'Medical examiners (Law)']",English
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,63,"['Fiction', 'Medical examiners (Law)']",English
038076654X,Petals on the River,Kathleen E. Woodiwiss,1997,Avon Trade,7,"['Open Library Staff Picks', 'Fiction']",English
0380807866,The Elusive Flame,Kathleen E. Woodiwiss,1999,Avon,8,"['Historical Romance', 'Fiction']",English
0385316895,Legacy of Silence,Belva Plain,1998,Bantam Dell Pub Group,6,"['Fiction', 'German Americans']",English
0385497466,The Brethren,JOHN GRISHAM,2000,Doubleday,61,"['Prisoners', 'Judges']",English
0385508042,The King of Torts,John Grisham,2003,Doubleday Books,89,"['Public defenders', 'Drugs']",English
0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday,39,"['England, fiction', 'Fiction, mystery & detective, general']",English
0385511612,Bleachers,John Grisham,2003,Doubleday,74,"['Death', 'Teacher-student relationships']",English
0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,61,"['Conduct of life', 'Juvenile fiction']",English
0425164403,Only Love (Magical Love),Erich Segal,1998,Berkley Publishing Group,6,"['Fiction, romance, contemporary']",English
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,85,"['Fiction', 'Police']",English
0446610399,The Rescue,Nicholas Sparks,2001,Warner Books,89,"['Handicapped children', 'Single mothers in fiction']",English
0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,51,"['Serial murders', 'Fiction']",English
0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books,33,"['Fiction', 'Community life']",English
0451162072,Pet Sematary,Stephen King,1994,Signet Book,25,"['fiction', 'thrillers']",English
0451186648,Silent Snow,Steve Thayer,2000,Signet Book,13,"['Fiction', 'Investigative reporting']",English
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,278,"[""Artists' models"", ""Artists' models in fiction""]",English
051513290X,Summer of Storms,Judith Kelman,2002,Jove Books,14,"['Summer', 'Psychological fiction']",English
0553580388,The Patient,Michael Palmer,2001,Bantam Books,18,"['Assassins', 'Tumors']",English
0590629719,Clifford's Sports Day,Norman Bridwell,1996,Scholastic,4,"['Fiction', 'Ficción juvenil']",English
0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket,41,"['Fiction', 'Medical examiners (Law)']",English
0671027387,Deception Point,Dan Brown,2002,Pocket,93,"['mystery fiction', 'adventure fiction']",English
0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner,77,"['Irish Americans', 'New York (N.Y.)']",English
0743486226,Angels &amp; Demons,Dan Brown,2003,Atria,33,"['heparin', 'ambigrams']",English
0786863986,A Monk Swimming,Malachy McCourt,1998,Hyperion,13,"['Irish Americans', 'Biography']",English
0804117934,The Silent Cry (William Monk Novels (Paperback)),Anne Perry,1998,Ivy Books,4,"['Fiction', 'William Monk (Fictitious character)']",English
140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2002,Anchor,23,"['Detective and mystery stories', 'Women private investigators']",English
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,95,"['Spiritual life', 'Parables']",English
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,156,"['Love', 'Witches']",English
0151008116,Life of Pi,Yann Martel,2002,Harcourt,94,"['Teenage boys', 'Zoo animals']",English
0375704965,A Judgement in Stone,Ruth Rendell,2000,Vintage Books USA,6,"['Detective and mystery stories', 'Fiction']",English
0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,65,"['American Political satire', 'Conservatism']",English
0804111359,Secret History,DONNA TARTT,1993,Ballantine Books,67,"['Fiction', 'College students']",Dutch
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,66,"['Women', 'Anecdotes']",English
0316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown",46,"['American fiction', 'New Hampshire']",English
006102063X,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002,HarperTorch,10,"['Fiction', 'Discworld (Imaginary place)']",English
0060013117,Night Watch,Terry Pratchett,2002,HarperCollins,7,"['Fiction', 'Samuel Vimes (Fictitious character)']",English
0060199563,Thief of Time,Terry Pratchett,2001,HarperCollins Publishers,4,"['English Fantasy fiction', 'Discworld (Imaginary place)']",English
0060563079,Peter Pan: The Original Story (Peter Pan),J. M. Barrie,2003,HarperFestival,5,"['Open Library Staff Picks', ""English Children's fiction""]",English
0061040967,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),Terry Pratchett,2001,HarperCollins,2,"['Discworld (Imaginary place)', 'Fiction']",English
0061050474,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,1998,HarperPrism,2,"['Fiction', 'Samuel Vimes (Fictitious character)']",English
0061052515,"Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)",Terry Pratchett,1997,HarperPrism,2,"['Discworld (Imaginary place)', 'Opera']",English
0061052523,Interesting Times: A Novel of Discworld,Terry Pratchett,1997,Harpercollins,2,"['Fantasy fiction', 'Discworld (Imaginary place)']",English
0064472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002,HarperTempest,13,"['Best friends', 'Dating (Social customs)']",English
0140620664,Mansfield Park (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,11,"['Love stories, English', 'Fiction, Romance, Historical, Regency']",English
0312156960,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),Bernard Cornwell,1997,St. Martin's Griffin,5,"['Fiction', 'Kings and rulers']",English
0312890044,Moonheart (Newford),Charles de Lint,1994,Orb Books,13,"['Science fiction', 'Canada in fiction']",English
034543191X,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,1999,Del Rey Books,3,"['Fiction, general', 'Fantasy fiction']",English
0373836023,Powder and Patch,Georgette Heyer,2004,Harlequin,3,"['Fiction, Romance, Historical, Regency', 'Mate selection, fiction']",English
0375751513,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,1998,Modern Library,8,"['British and irish fiction (fictional works by one author)', 'Conduct of life, fiction']",English
0375823352,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,3,"['Fantasy', 'Fantasy fiction']",English
037582345X,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,8,"['Political theology', 'Polar bears']",English
0375823468,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,2,"['Fantasy', 'Juvenile literature']",English
0380730448,"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole",Sue Townsend,1997,Perennial,13,"['Adrian Mole (Fictitious character)', 'Fiction']",English
0380973839,Martian Chronicles,Ray Bradbury,1997,William Morrow,2,"['American Science fiction', 'Ciencia-ficción']",English
0394586239,Possession: A Romance,A. S. Byatt,1990,Random House Inc,2,"['Fiction', 'Manuscripts']",English
0439510112,Born Confused,Tanuja Desai Hidier,2003,Push,5,"['East Indian Americans', 'East Indian American teenagers']",English
0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell,41,"['Fiction', 'Young women']",English
0451409256,Making Minty Malone,Isabel Wolff,2000,Onyx Books,17,"['Fiction, romance, general', 'Women journalists, fiction']",English
0451523415,Little Women (Signet Classic),Louisa May Alcott,1988,Signet Classics,13,"['Romans', 'Jeunes filles']",English
0451526279,Emma (Signet Classics (Paperback)),Jane Austen,1996,Signet Classics,7,"['Social life and customs', 'Mate selection']",English
0451526341,Animal Farm,George Orwell,1996,Signet,92,"['British and Irish fiction (fictional works by one author)', 'political satire']",English
0486415864,Great Expectations (Dover Thrift Editions),Charles Dickens,2001,Dover Publications,3,"['Authors', 'Benefactors']",English
0553280589,Eva Luna,Isabel Allende,1989,Bantam Books,25,"['Spanish language books', 'Spanish fiction']",English
0571197639,Poisonwood Bible Edition Uk,Barbara Kingsolver,1999,Faber Faber Inc,14,"['Missionaries', 'Fiction']",English
0679751343,Angels &amp; Insects : Two Novellas,A.S. BYATT,1994,Vintage,6,"['Evolution (Biology)', 'Fiction']",English
0684833395,Catch 22,Joseph Heller,1996,Simon &amp; Schuster,53,"['Open Library Staff Picks', 'Satire']",English
0743245024,The Forsyte Saga : The Man of Property and In Chancery,John Galsworthy,2002,Touchstone,2,"['Fiction', 'Families']",English
1401201172,"League of Extraordinary Gentlemen, Vol. 2 (Comic)",Alan Moore,2003,DC Comics,3,"['Horror comic books, strips', 'Graphic novels']",English
1563898586,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,2002,DC Comics,15,"['Horror comic books, strips', 'Graphic novels']",English
156971620X,Harlequin Valentine,Neil Gaiman,2002,Dark Horse Comics,4,"['Graphic novel', 'Comics & graphic novels, fantasy']",English
